.binary	application/octet-stream
.fif	application/fractals
.spl	application/futuresplash
.hta	application/hta
.hqx	application/mac-binhex40
.mdb	application/msaccess
.doc	application/msword
.pdf	application/pdf
.prf	application/pics-rules
.p10	application/pkcs10
.p7c	application/pkcs7-mime
.p7s	application/pkcs7-signature
.crl	application/pkix-crl
.ps	application/postscript
.rat	application/rat-file
.sdp	application/sdp
.smil	application/smil
.ssm	application/streamingmedia
.edn	application/vnd.adobe.edn
.pdx	application/vnd.adobe.pdx
.rmf	application/vnd.adobe.rmf
.awf	application/vnd.adobe.workflow
.xdp	application/vnd.adobe.xdp
.xfd	application/vnd.adobe.xfd
.xfdf	application/vnd.adobe.xfdf
.apk	application/vnd.android.package-archive
.fdf	application/vnd.fdf
.ipa	application/vnd.iphone
.xls	application/vnd.ms-excel
.sst	application/vnd.ms-pki.certstore
.pko	application/vnd.ms-pki.pko
.cat	application/vnd.ms-pki.seccat
.stl	application/vnd.ms-pki.stl
.ppt	application/vnd.ms-powerpoint
.mpd	application/vnd.ms-project
.wpl	application/vnd.ms-wpl
.rm	application/vnd.rn-realmedia
.rms	application/vnd.rn-realmedia-secure
.rmvb	application/vnd.rn-realmedia-vbr
.rnx	application/vnd.rn-realplayer
.rjs	application/vnd.rn-realsystem-rjs
.rjt	application/vnd.rn-realsystem-rjt
.rmj	application/vnd.rn-realsystem-rmj
.rmx	application/vnd.rn-realsystem-rmx
.rec	application/vnd.rn-recording
.rmp	application/vnd.rn-rn_music_package
.rsml	application/vnd.rn-rsml
.sis	application/vnd.symbian.install
.vsx	application/vnd.visio
.	application/x-
0.001	application/x-001
0.301	application/x-301
0.906	application/x-906
.a11	application/x-a11
.anv	application/x-anv
.torrent	application/x-bittorrent
.bmp	application/x-bmp
.bot	application/x-bot
.c4t	application/x-c4t
.c90	application/x-c90
.cal	application/x-cals
.cdr	application/x-cdr
.cel	application/x-cel
.cgm	application/x-cgm
.cit	application/x-cit
.cmp	application/x-cmp
.cmx	application/x-cmx
.cot	application/x-cot
.csi	application/x-csi
.cut	application/x-cut
.dbf	application/x-dbf
.dbm	application/x-dbm
.dbx	application/x-dbx
.dcx	application/x-dcx
.dgn	application/x-dgn
.dib	application/x-dib
.drw	application/x-drw
.dwf	application/x-dwf
.dwg	application/x-dwg
.dxb	application/x-dxb
.dxf	application/x-dxf
